# BEGIN PLOT
RatioPlotReference=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_sherpa_parton/HT
RatioPlot=1
DrawOnly=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_sherpa_parton/HT /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_sherpa_parton/HT
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_sherpa_parton/HT
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_sherpa_parton/HT
Title=johannes_nlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.800000e+02	-3.736594e-05	9.743291e-05	9.743291e-05
1.800000e+02	2.400000e+02	-2.285288e-04	8.965072e-04	8.965072e-04
2.400000e+02	3.000000e+02	1.396709e-03	2.454071e-03	2.454071e-03
3.000000e+02	3.600000e+02	4.224177e-03	2.196635e-03	2.196635e-03
3.600000e+02	4.200000e+02	3.200650e-03	1.545910e-03	1.545910e-03
4.200000e+02	4.800000e+02	1.768551e-03	6.746583e-04	6.746583e-04
4.800000e+02	5.400000e+02	9.596012e-04	5.285586e-04	5.285586e-04
5.400000e+02	6.000000e+02	5.444202e-04	3.131268e-04	3.131268e-04
6.000000e+02	6.600000e+02	3.097164e-04	1.610339e-04	1.610339e-04
6.600000e+02	7.200000e+02	1.856817e-04	1.447361e-04	1.447361e-04
7.200000e+02	7.800000e+02	1.143072e-04	8.958800e-05	8.958800e-05
7.800000e+02	8.400000e+02	7.025059e-05	6.439429e-05	6.439429e-05
8.400000e+02	9.000000e+02	4.529156e-05	5.487875e-05	5.487875e-05
9.000000e+02	9.600000e+02	2.837932e-05	2.542805e-05	2.542805e-05
9.600000e+02	1.020000e+03	1.959429e-05	1.620826e-05	1.620826e-05
1.020000e+03	1.080000e+03	1.304421e-05	1.465074e-05	1.465074e-05
1.080000e+03	1.140000e+03	8.637207e-06	5.824097e-06	5.824097e-06
1.140000e+03	1.200000e+03	5.968021e-06	5.030085e-06	5.030085e-06
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_sherpa_parton/HT
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_sherpa_parton/HT
ScaledBy=1.0487612085043207e-07
Title=seedALL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.800000e+02	-2.087283e-07	9.837918e-06	9.837918e-06
1.800000e+02	2.400000e+02	-4.951055e-05	1.538939e-03	1.538939e-03
2.400000e+02	3.000000e+02	3.934180e-04	1.922017e-03	1.922017e-03
3.000000e+02	3.600000e+02	3.651155e-03	5.295242e-03	5.295242e-03
3.600000e+02	4.200000e+02	3.454753e-03	9.154213e-03	9.154213e-03
4.200000e+02	4.800000e+02	1.953073e-03	1.537566e-03	1.537566e-03
4.800000e+02	5.400000e+02	1.063721e-03	2.191305e-03	2.191305e-03
5.400000e+02	6.000000e+02	5.738452e-04	8.082572e-04	8.082572e-04
6.000000e+02	6.600000e+02	3.659493e-04	3.736147e-04	3.736147e-04
6.600000e+02	7.200000e+02	2.240120e-04	3.112988e-04	3.112988e-04
7.200000e+02	7.800000e+02	1.274115e-04	3.525329e-04	3.525329e-04
7.800000e+02	8.400000e+02	9.489092e-05	8.376376e-05	8.376376e-05
8.400000e+02	9.000000e+02	4.394057e-05	7.518350e-04	7.518350e-04
9.000000e+02	9.600000e+02	3.235478e-05	6.443981e-04	6.443981e-04
9.600000e+02	1.020000e+03	2.462788e-05	6.446073e-05	6.446073e-05
1.020000e+03	1.080000e+03	1.966413e-05	2.618976e-04	2.618976e-04
1.080000e+03	1.140000e+03	1.001220e-05	1.097580e-05	1.097580e-05
1.140000e+03	1.200000e+03	8.168718e-06	2.371539e-05	2.371539e-05
# END HISTO1D

