# BEGIN PLOT
DrawOnly=/REF/ATLAS_2015_I1404878_custom/d17-x01-y01 /home/iwsatlas1/scyboz/Work/11.10.16_MCPROD_TUNING_RZG/tuning_TopPairMassScale_MMHT2014_dipole/ipolhistos/000/histo-000.yoda/ATLAS_2015_I1404878_custom/d17-x01-y01
Title=combined lepton channels
RatioPlotReference=/REF/ATLAS_2015_I1404878_custom/d17-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=1.2
RatioPlotYLabel=Output_rivet/Particle_level
LegendXPos=0.6
XLabel=$y_{\text{boost}}$
YLabelSep=8.0
YLabel=$\dfrac{\text{d}\sigma^\text{fid}}{\text{d}y_{\text{boost}}}$ [pb]
Legend=1
RatioPlotYMin=0.8
LeftMargin=1.9
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2015_I1404878_custom/d17-x01-y01
ConnectBins=0
ErrorBars=1
Path=/REF/ATLAS_2015_I1404878_custom/d17-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.368580e+01	6.957464e+00	6.903950e+00
1.000000e-01	2.000000e-01	3.311430e+01	6.874900e+00	6.836186e+00
2.000000e-01	3.000000e-01	3.145440e+01	6.746644e+00	6.734072e+00
3.000000e-01	4.000000e-01	3.012680e+01	6.504550e+00	6.493412e+00
4.000000e-01	5.000000e-01	2.829980e+01	5.822610e+00	5.866715e+00
5.000000e-01	6.000000e-01	2.552530e+01	5.357160e+00	5.346961e+00
6.000000e-01	7.000000e-01	2.264700e+01	4.920719e+00	4.868689e+00
7.000000e-01	8.000000e-01	1.995730e+01	4.244309e+00	4.260454e+00
8.000000e-01	9.000000e-01	1.705750e+01	3.424366e+00	3.431859e+00
9.000000e-01	1.000000e+00	1.364350e+01	2.887453e+00	2.837209e+00
1.000000e+00	1.100000e+00	1.111390e+01	2.398777e+00	2.396115e+00
1.100000e+00	1.200000e+00	8.725570e+00	1.738623e+00	1.678638e+00
1.200000e+00	1.300000e+00	6.761050e+00	1.377403e+00	1.378144e+00
1.300000e+00	1.400000e+00	4.966550e+00	1.024540e+00	1.006075e+00
1.400000e+00	1.500000e+00	3.559080e+00	7.006089e-01	6.885703e-01
1.500000e+00	2.000000e+00	1.013350e+00	2.121696e-01	2.142018e-01
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/11.10.16_MCPROD_TUNING_RZG/tuning_TopPairMassScale_MMHT2014_dipole/ipolhistos/000/histo-000.yoda/ATLAS_2015_I1404878_custom/d17-x01-y01
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/11.10.16_MCPROD_TUNING_RZG/tuning_TopPairMassScale_MMHT2014_dipole/ipolhistos/000/histo-000.yoda/ATLAS_2015_I1404878_custom/d17-x01-y01
Title=histo-000
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.340183e+01	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	3.278576e+01	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	3.181661e+01	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	3.011043e+01	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	2.817199e+01	0.000000e+00	0.000000e+00
5.000000e-01	6.000000e-01	2.568339e+01	0.000000e+00	0.000000e+00
6.000000e-01	7.000000e-01	2.313592e+01	0.000000e+00	0.000000e+00
7.000000e-01	8.000000e-01	2.027150e+01	0.000000e+00	0.000000e+00
8.000000e-01	9.000000e-01	1.727570e+01	0.000000e+00	0.000000e+00
9.000000e-01	1.000000e+00	1.431952e+01	0.000000e+00	0.000000e+00
1.000000e+00	1.100000e+00	1.172059e+01	0.000000e+00	0.000000e+00
1.100000e+00	1.200000e+00	9.274424e+00	0.000000e+00	0.000000e+00
1.200000e+00	1.300000e+00	7.163193e+00	0.000000e+00	0.000000e+00
1.300000e+00	1.400000e+00	5.280457e+00	0.000000e+00	0.000000e+00
1.400000e+00	1.500000e+00	3.725840e+00	0.000000e+00	0.000000e+00
1.500000e+00	2.000000e+00	1.089887e+00	0.000000e+00	0.000000e+00
# END HISTO1D

