# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/Phiemu /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_histo/Phiemu
RatioPlotReference=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/Phiemu
RatioPlot=1
LogY=0
LegendXPos=0.65
XLabel=Azimuthal angle between the two leptons $\phi_{\mathrm{e}^+\mu^-}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/Phiemu
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/Phiemu
Title=johannes_nlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.141592e-01	8.857348e-02	1.487759e-01	1.487759e-01
3.141593e-01	6.283185e-01	9.178434e-02	2.186207e-01	2.186207e-01
6.283186e-01	9.424778e-01	9.658458e-02	1.418329e-01	1.418329e-01
9.424774e-01	1.256637e+00	1.035824e-01	1.318522e-01	1.318522e-01
1.256637e+00	1.570797e+00	1.132679e-01	1.439821e-01	1.439821e-01
1.570796e+00	1.884956e+00	1.213468e-01	1.905843e-01	1.905843e-01
1.884955e+00	2.199115e+00	1.360990e-01	2.005906e-01	2.005906e-01
2.199114e+00	2.513274e+00	1.447738e-01	1.746497e-01	1.746497e-01
2.513274e+00	2.827434e+00	1.524159e-01	1.804189e-01	1.804189e-01
2.827433e+00	3.141593e+00	1.585471e-01	1.474072e-01	1.474072e-01
3.141592e+00	3.455752e+00	1.578400e-01	1.843468e-01	1.843468e-01
3.455752e+00	3.769912e+00	1.538136e-01	1.363948e-01	1.363948e-01
3.769911e+00	4.084071e+00	1.455628e-01	1.690006e-01	1.690006e-01
4.084070e+00	4.398230e+00	1.322793e-01	1.832077e-01	1.832077e-01
4.398229e+00	4.712389e+00	1.214219e-01	1.321397e-01	1.321397e-01
4.712389e+00	5.026549e+00	1.132009e-01	1.344814e-01	1.344814e-01
5.026548e+00	5.340708e+00	1.042643e-01	1.378165e-01	1.378165e-01
5.340707e+00	5.654867e+00	9.756386e-02	1.272250e-01	1.272250e-01
5.654866e+00	5.969026e+00	9.164488e-02	1.436661e-01	1.436661e-01
5.969026e+00	6.283186e+00	8.996379e-02	1.397230e-01	1.397230e-01
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_histo/Phiemu
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_histo/Phiemu
ScaledBy=1.0487612085043207e-07
Title=seedALL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.141593e-01	8.161331e-02	4.516318e-01	4.516318e-01
3.141593e-01	6.283185e-01	8.490460e-02	2.065823e-01	2.065823e-01
6.283185e-01	9.424778e-01	8.066631e-02	2.907605e-01	2.907605e-01
9.424778e-01	1.256637e+00	1.035335e-01	1.577034e-01	1.577034e-01
1.256637e+00	1.570796e+00	1.255188e-01	1.565816e-01	1.565816e-01
1.570796e+00	1.884956e+00	1.036519e-01	1.255708e-01	1.255708e-01
1.884956e+00	2.199115e+00	1.110845e-01	2.153423e-01	2.153423e-01
2.199115e+00	2.513274e+00	1.309766e-01	2.543131e-01	2.543131e-01
2.513274e+00	2.827433e+00	1.541596e-01	5.749604e-01	5.749604e-01
2.827433e+00	3.141593e+00	1.539282e-01	3.551886e-01	3.551886e-01
3.141593e+00	3.455752e+00	1.526998e-01	6.426486e-01	6.426486e-01
3.455752e+00	3.769911e+00	1.409766e-01	2.634598e-01	2.634598e-01
3.769911e+00	4.084070e+00	1.475234e-01	3.764025e-01	3.764025e-01
4.084070e+00	4.398230e+00	1.199191e-01	2.876762e-01	2.876762e-01
4.398230e+00	4.712389e+00	1.292399e-01	1.638162e+00	1.638162e+00
4.712389e+00	5.026548e+00	1.078062e-01	1.974161e-01	1.974161e-01
5.026548e+00	5.340708e+00	9.067692e-02	1.587031e-01	1.587031e-01
5.340708e+00	5.654867e+00	9.356039e-02	2.910637e-01	2.910637e-01
5.654867e+00	5.969026e+00	7.921766e-02	2.795363e-01	2.795363e-01
5.969026e+00	6.283185e+00	9.202219e-02	2.370058e-01	2.370058e-01
# END HISTO1D

