# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/Mlb /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_histo/Mlb
RatioPlotReference=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/Mlb
RatioPlot=1
LogY=1
LegendXPos=0.65
XLabel=$\mathrm{m}_\mathrm{lb}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dm}_{\mathrm{lb}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/Mlb
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/johannes_nlo.yoda/ATLAS_histo/Mlb
Title=johannes_nlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	2.164904e-07	4.753973e-07	4.753973e-07
1.600000e+01	2.400000e+01	1.226926e-05	7.177991e-05	7.177991e-05
2.400000e+01	3.200000e+01	9.681115e-05	1.417526e-03	1.417526e-03
3.200000e+01	4.000000e+01	3.297078e-04	1.011977e-03	1.011977e-03
4.000000e+01	4.800000e+01	8.352834e-04	1.418088e-03	1.418088e-03
4.800000e+01	5.600000e+01	1.710568e-03	2.373165e-03	2.373165e-03
5.600000e+01	6.400000e+01	3.020237e-03	3.385947e-03	3.385947e-03
6.400000e+01	7.200000e+01	4.729719e-03	5.264318e-03	5.264318e-03
7.200000e+01	8.000000e+01	6.616307e-03	5.959651e-03	5.959651e-03
8.000000e+01	8.800000e+01	8.319160e-03	7.185264e-03	7.185264e-03
8.800000e+01	9.600000e+01	9.212050e-03	8.216800e-03	8.216800e-03
9.600000e+01	1.040000e+02	9.162405e-03	8.945596e-03	8.945596e-03
1.040000e+02	1.120000e+02	8.182818e-03	8.929759e-03	8.929759e-03
1.120000e+02	1.200000e+02	6.428243e-03	5.515028e-03	5.515028e-03
1.200000e+02	1.280000e+02	4.226352e-03	3.757969e-03	3.757969e-03
1.280000e+02	1.360000e+02	2.166930e-03	4.773144e-03	4.773144e-03
1.360000e+02	1.440000e+02	7.765563e-04	1.185363e-03	1.185363e-03
1.440000e+02	1.520000e+02	2.336192e-04	5.772561e-04	5.772561e-04
1.520000e+02	1.600000e+02	1.245301e-04	4.168042e-04	4.168042e-04
1.600000e+02	1.680000e+02	7.910413e-05	5.572449e-04	5.572449e-04
1.680000e+02	1.760000e+02	5.711314e-05	2.018582e-04	2.018582e-04
1.760000e+02	1.840000e+02	4.542062e-05	3.012051e-04	3.012051e-04
1.840000e+02	1.920000e+02	3.503593e-05	1.980873e-04	1.980873e-04
1.920000e+02	2.000000e+02	3.081029e-05	1.688524e-04	1.688524e-04
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_histo/Mlb
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/SHERPA-SHERPAJ/seedALL.yoda/ATLAS_histo/Mlb
ScaledBy=1.0487612085043207e-07
Title=seedALL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	7.178972e-09	4.938340e-08	4.938340e-08
1.600000e+01	2.400000e+01	5.164786e-06	2.856954e-05	2.856954e-05
2.400000e+01	3.200000e+01	2.681884e-05	2.516907e-04	2.516907e-04
3.200000e+01	4.000000e+01	1.677704e-04	6.469327e-04	6.469327e-04
4.000000e+01	4.800000e+01	3.828780e-04	5.391450e-03	5.391450e-03
4.800000e+01	5.600000e+01	1.428782e-03	3.128739e-03	3.128739e-03
5.600000e+01	6.400000e+01	2.093699e-03	4.560280e-03	4.560280e-03
6.400000e+01	7.200000e+01	3.545258e-03	1.607069e-02	1.607069e-02
7.200000e+01	8.000000e+01	4.665744e-03	8.246291e-03	8.246291e-03
8.000000e+01	8.800000e+01	5.709760e-03	2.020822e-02	2.020822e-02
8.800000e+01	9.600000e+01	5.704977e-03	9.203237e-03	9.203237e-03
9.600000e+01	1.040000e+02	4.776144e-03	6.523512e-02	6.523512e-02
1.040000e+02	1.120000e+02	4.432628e-03	7.522573e-03	7.522573e-03
1.120000e+02	1.200000e+02	2.885249e-03	1.162290e-02	1.162290e-02
1.200000e+02	1.280000e+02	1.844208e-03	5.757042e-03	5.757042e-03
1.280000e+02	1.360000e+02	6.272413e-04	1.142675e-03	1.142675e-03
1.360000e+02	1.440000e+02	1.943616e-04	7.281351e-04	7.281351e-04
1.440000e+02	1.520000e+02	1.294261e-04	7.068084e-04	7.068084e-04
1.520000e+02	1.600000e+02	4.355565e-05	1.471474e-04	1.471474e-04
1.600000e+02	1.680000e+02	5.164993e-05	1.483558e-04	1.483558e-04
1.680000e+02	1.760000e+02	-2.272155e-05	8.780029e-05	8.780029e-05
1.760000e+02	1.840000e+02	3.291756e-05	1.584459e-04	1.584459e-04
1.840000e+02	1.920000e+02	1.356225e-05	1.173371e-04	1.173371e-04
1.920000e+02	2.000000e+02	2.448244e-05	8.592119e-04	8.592119e-04
# END HISTO1D

