# BEGIN PLOT
DrawOnly=/REF/ATLAS_2015_I1404878_custom/d05-x01-y01 /home/iwsatlas1/scyboz/Work/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_extraPars_2M/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_extraPars_2M.yoda/ATLAS_2015_I1404878_custom/d05-x01-y01
Title=combined lepton channels
RatioPlotReference=/REF/ATLAS_2015_I1404878_custom/d05-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Output_rivet/Particle_level
LegendXPos=0.6
XLabel=$|y_{t\bar{t}}|$
YLabelSep=8.0
YLabel=$\dfrac{\text{d}\sigma^\text{fid}}{\text{d}|y_{t\bar{t}}|}$ [pb]
Legend=1
RatioPlotYMin=0.6
LeftMargin=1.9
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2015_I1404878_custom/d05-x01-y01
ConnectBins=0
ErrorBars=1
Path=/REF/ATLAS_2015_I1404878_custom/d05-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.337060e+01	6.982955e+00	6.874264e+00
1.000000e-01	2.000000e-01	3.342630e+01	6.943166e+00	6.905089e+00
2.000000e-01	3.000000e-01	3.151310e+01	6.694874e+00	6.713137e+00
3.000000e-01	4.000000e-01	2.982330e+01	6.429117e+00	6.425839e+00
4.000000e-01	5.000000e-01	2.831300e+01	5.877913e+00	5.928263e+00
5.000000e-01	6.000000e-01	2.592050e+01	5.464787e+00	5.489905e+00
6.000000e-01	7.000000e-01	2.265530e+01	4.904218e+00	4.798533e+00
7.000000e-01	8.000000e-01	1.996850e+01	4.169297e+00	4.194824e+00
8.000000e-01	9.000000e-01	1.710840e+01	3.527369e+00	3.533177e+00
9.000000e-01	1.000000e+00	1.384830e+01	2.962134e+00	2.910852e+00
1.000000e+00	1.100000e+00	1.094210e+01	2.256070e+00	2.240899e+00
1.100000e+00	1.200000e+00	8.672580e+00	1.755364e+00	1.748362e+00
1.200000e+00	1.300000e+00	6.757060e+00	1.316904e+00	1.309172e+00
1.300000e+00	1.400000e+00	4.903970e+00	1.007116e+00	9.850854e-01
1.400000e+00	1.500000e+00	3.394650e+00	7.138572e-01	7.003251e-01
1.500000e+00	1.600000e+00	2.349770e+00	5.052729e-01	5.015623e-01
1.600000e+00	1.800000e+00	1.072210e+00	2.011577e-01	2.107634e-01
1.800000e+00	2.500000e+00	9.208080e-02	2.181340e-02	2.204236e-02
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_extraPars_2M/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_extraPars_2M.yoda/ATLAS_2015_I1404878_custom/d05-x01-y01
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_extraPars_2M/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_extraPars_2M.yoda/ATLAS_2015_I1404878_custom/d05-x01-y01
ScaledBy=0.0017929283361076305
Title=Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_extraPars_2M
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	1.799742e+01	1.474408e-01	1.474408e-01
1.000000e-01	2.000000e-01	1.757123e+01	1.448783e-01	1.448783e-01
2.000000e-01	3.000000e-01	1.686798e+01	1.419851e-01	1.419851e-01
3.000000e-01	4.000000e-01	1.647600e+01	1.403078e-01	1.403078e-01
4.000000e-01	5.000000e-01	1.563403e+01	1.364721e-01	1.364721e-01
5.000000e-01	6.000000e-01	1.432416e+01	1.306967e-01	1.306967e-01
6.000000e-01	7.000000e-01	1.305435e+01	1.247925e-01	1.247925e-01
7.000000e-01	8.000000e-01	1.159651e+01	1.172499e-01	1.172499e-01
8.000000e-01	9.000000e-01	1.036007e+01	1.104212e-01	1.104212e-01
9.000000e-01	1.000000e+00	8.723164e+00	1.014163e-01	1.014163e-01
1.000000e+00	1.100000e+00	7.269383e+00	9.243538e-02	9.243538e-02
1.100000e+00	1.200000e+00	5.710389e+00	8.184140e-02	8.184140e-02
1.200000e+00	1.300000e+00	4.470993e+00	7.214902e-02	7.214902e-02
1.300000e+00	1.400000e+00	3.438470e+00	6.355576e-02	6.355576e-02
1.400000e+00	1.500000e+00	2.390553e+00	5.326037e-02	5.326037e-02
1.500000e+00	1.600000e+00	1.636413e+00	4.393641e-02	4.393641e-02
1.600000e+00	1.800000e+00	8.362470e-01	2.255955e-02	2.255955e-02
1.800000e+00	2.500000e+00	6.954923e-02	3.510569e-03	3.510569e-03
# END HISTO1D

