# BEGIN PLOT
DrawOnly=/REF/ATLAS_2015_I1404878_custom/d05-x01-y01 /home/iwsatlas1/scyboz/Work/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_2M/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_2M.yoda/ATLAS_2015_I1404878_custom/d05-x01-y01
Title=combined lepton channels
RatioPlotReference=/REF/ATLAS_2015_I1404878_custom/d05-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Output_rivet/Particle_level
LegendXPos=0.6
XLabel=$|y_{t\bar{t}}|$
YLabelSep=8.0
YLabel=$\dfrac{\text{d}\sigma^\text{fid}}{\text{d}|y_{t\bar{t}}|}$ [pb]
Legend=1
RatioPlotYMin=0.6
LeftMargin=1.9
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2015_I1404878_custom/d05-x01-y01
ConnectBins=0
ErrorBars=1
Path=/REF/ATLAS_2015_I1404878_custom/d05-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.337060e+01	6.982955e+00	6.874264e+00
1.000000e-01	2.000000e-01	3.342630e+01	6.943166e+00	6.905089e+00
2.000000e-01	3.000000e-01	3.151310e+01	6.694874e+00	6.713137e+00
3.000000e-01	4.000000e-01	2.982330e+01	6.429117e+00	6.425839e+00
4.000000e-01	5.000000e-01	2.831300e+01	5.877913e+00	5.928263e+00
5.000000e-01	6.000000e-01	2.592050e+01	5.464787e+00	5.489905e+00
6.000000e-01	7.000000e-01	2.265530e+01	4.904218e+00	4.798533e+00
7.000000e-01	8.000000e-01	1.996850e+01	4.169297e+00	4.194824e+00
8.000000e-01	9.000000e-01	1.710840e+01	3.527369e+00	3.533177e+00
9.000000e-01	1.000000e+00	1.384830e+01	2.962134e+00	2.910852e+00
1.000000e+00	1.100000e+00	1.094210e+01	2.256070e+00	2.240899e+00
1.100000e+00	1.200000e+00	8.672580e+00	1.755364e+00	1.748362e+00
1.200000e+00	1.300000e+00	6.757060e+00	1.316904e+00	1.309172e+00
1.300000e+00	1.400000e+00	4.903970e+00	1.007116e+00	9.850854e-01
1.400000e+00	1.500000e+00	3.394650e+00	7.138572e-01	7.003251e-01
1.500000e+00	1.600000e+00	2.349770e+00	5.052729e-01	5.015623e-01
1.600000e+00	1.800000e+00	1.072210e+00	2.011577e-01	2.107634e-01
1.800000e+00	2.500000e+00	9.208080e-02	2.181340e-02	2.204236e-02
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_2M/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_2M.yoda/ATLAS_2015_I1404878_custom/d05-x01-y01
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_2M/Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_2M.yoda/ATLAS_2015_I1404878_custom/d05-x01-y01
ScaledBy=0.017617929691724318
Title=Herwig_8TeV_MMHT2014_mu86GeV_DefaultShower_2M
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.187228e+01	2.448111e-01	2.448111e-01
1.000000e-01	2.000000e-01	3.166131e+01	2.446649e-01	2.446649e-01
2.000000e-01	3.000000e-01	3.099431e+01	2.440647e-01	2.440647e-01
3.000000e-01	4.000000e-01	2.940091e+01	2.324937e-01	2.324937e-01
4.000000e-01	5.000000e-01	2.801564e+01	2.333921e-01	2.333921e-01
5.000000e-01	6.000000e-01	2.599904e+01	2.259871e-01	2.259871e-01
6.000000e-01	7.000000e-01	2.320417e+01	2.181849e-01	2.181849e-01
7.000000e-01	8.000000e-01	1.989225e+01	2.010639e-01	2.010639e-01
8.000000e-01	9.000000e-01	1.745518e+01	1.798479e-01	1.798479e-01
9.000000e-01	1.000000e+00	1.497094e+01	1.699460e-01	1.699460e-01
1.000000e+00	1.100000e+00	1.241695e+01	1.603130e-01	1.603130e-01
1.100000e+00	1.200000e+00	9.865260e+00	1.437013e-01	1.437013e-01
1.200000e+00	1.300000e+00	7.402649e+00	1.202923e-01	1.202923e-01
1.300000e+00	1.400000e+00	5.714477e+00	1.137804e-01	1.137804e-01
1.400000e+00	1.500000e+00	4.027317e+00	9.727312e-02	9.727312e-02
1.500000e+00	1.600000e+00	2.599052e+00	6.863807e-02	6.863807e-02
1.600000e+00	1.800000e+00	1.334795e+00	4.382995e-02	4.382995e-02
1.800000e+00	2.500000e+00	1.083171e-01	5.622373e-03	5.622373e-03
# END HISTO1D

